数据库：年度数据 
时间： 
指标	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
农用塑料薄膜使用量 (吨) 	,2357943.82	,2388647.06	,2407658.48	,2466795.41	,2528365.22	,2602608.90	,
数据来源：国家统计局
